"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Last Updated","Current Ver","Android Ver","Avg_Sentiment","Review_Count","Success","log_installs","log_reviews","is_free","high_success","Last_Updated","days_since_update"
"Tattoo Name On My Photo Editor","ART_AND_DESIGN",4.2,44829,20,1e+07,"Free",0,"Teen","April 2, 2018","3.8","4.1 and up",0,0,"1",16.1180957509583,10.7106328371495,1,1,2018-04-02,2930
"Mandala Coloring Book","ART_AND_DESIGN",4.6,4326,21,1e+05,"Free",0,"Everyone","June 26, 2018","1.0.4","4.4 and up",0,0,"0",11.5129354649202,8.37262974022488,1,0,2018-06-26,2845
"3D Color Pixel by Number - Sandbox Art Coloring","ART_AND_DESIGN",4.4,1518,37,1e+05,"Free",0,"Everyone","August 3, 2018","1.2.3","2.3 and up",0,40,"0",11.5129354649202,7.32580750259577,1,0,2018-08-03,2807
"Learn To Draw Kawaii Characters","ART_AND_DESIGN",3.2,55,2.7,5000,"Free",0,"Everyone","June 6, 2018","NaN","4.2 and up",0,0,"0",8.5173931714189,4.02535169073515,1,0,2018-06-06,2865
"Photo Designer - Write your name with shapes","ART_AND_DESIGN",4.7,3632,5.5,5e+05,"Free",0,"Everyone","July 31, 2018","3.1","4.1 and up",0,0,"0",13.1223653774023,8.1978140322212,1,0,2018-07-31,2810
"350 Diy Room Decor Ideas","ART_AND_DESIGN",4.5,27,17,10000,"Free",0,"Everyone","November 7, 2017","1.0","2.3 and up",0,0,"0",9.21044036697652,3.3322045101752,1,0,2017-11-07,3076
"FlipaClip - Cartoon animation","ART_AND_DESIGN",4.3,194216,39,5e+06,"Free",0,"Everyone","August 3, 2018","2.2.5","4.0.3 and up",0.041264880952381,40,"1",15.4249486703984,12.1767313696281,1,1,2018-08-03,2807
"ibis Paint X","ART_AND_DESIGN",4.6,224399,31,1e+07,"Free",0,"Everyone","July 30, 2018","5.5.4","4.1 and up",0,0,"1",16.1180957509583,12.3211854526307,1,1,2018-07-30,2811
"Logo Maker - Small Business","ART_AND_DESIGN",4,450,14,1e+05,"Free",0,"Everyone","April 20, 2018","4.0","4.1 and up",0,0,"0",11.5129354649202,6.11146733950268,1,0,2018-04-20,2912
"Boys Photo Editor - Six Pack & Men's Suit","ART_AND_DESIGN",4.1,654,12,1e+05,"Free",0,"Everyone","March 20, 2018","1.1","4.0.3 and up",0.269333333333333,40,"0",11.5129354649202,6.48463523563525,1,0,2018-03-20,2943
"Superheroes Wallpapers | 4K Backgrounds","ART_AND_DESIGN",4.7,7699,4.2,5e+05,"Free",0,"Everyone 10+","July 12, 2018","2.2.6.2","4.0.3 and up",0,0,"0",13.1223653774023,8.94897560784178,1,0,2018-07-12,2829
"HD Mickey Minnie Wallpapers","ART_AND_DESIGN",4.7,118,23,50000,"Free",0,"Everyone","July 7, 2018","1.1.3","4.1 and up",0,0,"0",10.8197982842103,4.77912349311153,1,0,2018-07-07,2834
"Harley Quinn wallpapers HD","ART_AND_DESIGN",4.8,192,6,10000,"Free",0,"Everyone","April 25, 2018","1.5","3.0 and up",0,0,"0",9.21044036697652,5.26269018890489,1,0,2018-04-25,2907
"Colorfit - Drawing & Coloring","ART_AND_DESIGN",4.7,20260,25,5e+05,"Free",0,"Everyone","October 11, 2017","1.0.8","4.0.3 and up",0.163244155048383,40,"0",13.1223653774023,9.91645313492615,1,0,2017-10-11,3103
"Animated Photo Editor","ART_AND_DESIGN",4.1,203,6.1,1e+05,"Free",0,"Everyone","March 21, 2018","1.03","4.0.3 and up",0.255375,40,"0",11.5129354649202,5.31811999384422,1,0,2018-03-21,2942
"Pencil Sketch Drawing","ART_AND_DESIGN",3.9,136,4.6,10000,"Free",0,"Everyone","July 12, 2018","6.0","2.3 and up",0,0,"0",9.21044036697652,4.91998092582813,1,0,2018-07-12,2829
"Easy Realistic Drawing Tutorial","ART_AND_DESIGN",4.1,223,4.2,1e+05,"Free",0,"Everyone","August 22, 2017","1.0","2.3 and up",0,0,"0",11.5129354649202,5.41164605185504,1,0,2017-08-22,3153
"Pink Silver Bow Keyboard Theme","ART_AND_DESIGN",4.2,1120,9.2,1e+05,"Free",0,"Everyone","July 12, 2018","6.7.12.2018","4.0.3 and up",0,0,"0",11.5129354649202,7.02197642307216,1,0,2018-07-12,2829
"Art Drawing Ideas","ART_AND_DESIGN",4.1,227,5.2,50000,"Free",0,"Everyone","May 31, 2018","1.2","2.3 and up",0,0,"0",10.8197982842103,5.42934562895444,1,0,2018-05-31,2871
"Anime Manga Coloring Book","ART_AND_DESIGN",4.5,5035,11,1e+05,"Free",0,"Everyone","July 19, 2018","2.20","4.0 and up",0.216594460227273,40,"0",11.5129354649202,8.52436739516424,1,0,2018-07-19,2822
"Easy Origami Ideas","ART_AND_DESIGN",4.2,1015,11,1e+05,"Free",0,"Everyone","January 6, 2018","1.1.0","4.1 and up",0.0845347222222222,40,"0",11.5129354649202,6.92362862813843,1,0,2018-01-06,3016
"I Creative Idea","ART_AND_DESIGN",4.7,353,4.2,10000,"Free",0,"Teen","April 27, 2018","1.6","4.1 and up",0,0,"0",9.21044036697652,5.86929691313377,1,0,2018-04-27,2905
"How to draw Ladybug and Cat Noir","ART_AND_DESIGN",3.8,564,9.2,1e+05,"Free",0,"Everyone","July 11, 2018","2.1","4.1 and up",0,0,"0",11.5129354649202,6.33682573114644,1,0,2018-07-11,2830
"UNICORN - Color By Number & Pixel Art Coloring","ART_AND_DESIGN",4.7,8145,24,5e+05,"Free",0,"Everyone","August 2, 2018","1.0.9","4.4 and up",0,0,"0",13.1223653774023,9.00528228820836,1,0,2018-08-02,2808
"PIP Camera - PIP Collage Maker","ART_AND_DESIGN",4.7,158,11,10000,"Free",0,"Everyone","November 29, 2017","1.3","4.0.3 and up",0,0,"0",9.21044036697652,5.06890420222023,1,0,2017-11-29,3054
"How To Color Disney Princess - Coloring Pages","ART_AND_DESIGN",4,591,9.4,5e+05,"Free",0,"Everyone","March 31, 2018","1","4.0 and up",0,0,"0",13.1223653774023,6.38350663488401,1,0,2018-03-31,2932
"Drawing Clothes Fashion Ideas","ART_AND_DESIGN",4.2,117,15,10000,"Free",0,"Everyone","July 20, 2018","2.0.1","4.0.3 and up",0,30,"0",9.21044036697652,4.77068462446567,1,0,2018-07-20,2821
"Sad Poetry Photo Frames 2018","ART_AND_DESIGN",4.5,176,10,1e+05,"Free",0,"Everyone","April 2, 2018","1.0","4.0.3 and up",0,0,"0",11.5129354649202,5.17614973257383,1,0,2018-04-02,2930
"Paint Splash!","ART_AND_DESIGN",3.8,2206,1.2,1e+05,"Free",0,"Everyone","April 15, 2018","1.46","4.1 and up",0,0,"0",11.5129354649202,7.69938940625674,1,0,2018-04-15,2917
"Popsicle Sticks and Similar DIY Craft Ideas","ART_AND_DESIGN",4.2,26,12,10000,"Free",0,"Everyone","January 3, 2018","1.0.0","4.1 and up",0,0,"0",9.21044036697652,3.29583686600433,1,0,2018-01-03,3019
"Canva: Poster, banner, card maker & graphic design","ART_AND_DESIGN",4.7,174531,24,1e+07,"Free",0,"Everyone","July 31, 2018","1.6.1","4.1 and up",0.194597590488216,40,"1",16.1180957509583,12.0698633849012,1,1,2018-07-31,2810
"Install images with music to make video without Net - 2018","ART_AND_DESIGN",4.6,1070,26,1e+05,"Free",0,"Everyone","November 14, 2017","1.6","4.1 and up",0,0,"0",11.5129354649202,6.97634807044775,1,0,2017-11-14,3069
"Little Teddy Bear Colouring Book Game","ART_AND_DESIGN",4.2,85,8,1e+05,"Free",0,"Everyone","December 17, 2017","2.0.0","4.1 and up",0,0,"0",11.5129354649202,4.45434729625351,1,0,2017-12-17,3036
"How To Draw Food","ART_AND_DESIGN",4.3,845,7.9,1e+05,"Free",0,"Everyone","May 28, 2018","1.0","2.3 and up",0,0,"0",11.5129354649202,6.74051935960622,1,0,2018-05-28,2874
"Monster Truck Stunt 3D 2019","AUTO_AND_VEHICLES",4.2,367,25,1e+05,"Free",0,"Everyone","May 10, 2018","1.0","4.0.3 and up",0,0,"0",11.5129354649202,5.90808293816893,1,0,2018-05-10,2892
"Real Tractor Farming","AUTO_AND_VEHICLES",4,1598,56,1e+06,"Free",0,"Everyone","July 26, 2018","11.0","4.1 and up",0,0,"1",13.8155115579638,7.37713371283395,1,1,2018-07-26,2815
"Ultimate F1 Racing Championship","AUTO_AND_VEHICLES",3.8,284,57,1e+05,"Free",0,"Everyone","July 26, 2018","3.0","4.1 and up",0,0,"0",11.5129354649202,5.65248918026865,1,0,2018-07-26,2815
"American Muscle Car Race","AUTO_AND_VEHICLES",3.9,129,35,1e+05,"Free",0,"Everyone","July 26, 2018","3.0","4.1 and up",0,0,"0",11.5129354649202,4.86753445045558,1,0,2018-07-26,2815
"Offroad Oil Tanker Driver Transport Truck 2019","AUTO_AND_VEHICLES",4.3,542,33,1e+05,"Free",0,"Everyone","July 31, 2018","4.0","4.1 and up",0,0,"0",11.5129354649202,6.29710931993394,1,0,2018-07-31,2810
"Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru","AUTO_AND_VEHICLES",4.9,10479,33,1e+05,"Free",0,"Everyone","July 18, 2018","1.7.1","4.0 and up",0,0,"0",11.5129354649202,9.25722395787503,1,0,2018-07-18,2823
"Gas Prices (Germany only)","AUTO_AND_VEHICLES",4.4,805,5.6,50000,"Free",0,"Everyone","July 29, 2018","2.5.1","4.4 and up",0,0,"0",10.8197982842103,6.69208374250663,1,0,2018-07-29,2812
"Extreme Rally Championship","AUTO_AND_VEHICLES",4.2,129,54,1e+05,"Free",0,"Everyone","July 26, 2018","3.0","4.1 and up",0,0,"0",11.5129354649202,4.86753445045558,1,0,2018-07-26,2815
"Restart Navigator","AUTO_AND_VEHICLES",4,1403,201,1e+05,"Free",0,"Everyone","August 26, 2014","1.0.1","2.2 and up",0,0,"0",11.5129354649202,7.24708058458576,1,0,2014-08-26,4245
"REG - Check the regnumber, find information about Swedish vehicles","AUTO_AND_VEHICLES",3.9,3971,3.6,1e+05,"Free",0,"Everyone","July 30, 2018","2.493","4.4 and up",0,0,"0",11.5129354649202,8.28702502516506,1,0,2018-07-30,2811
"CityBus Lviv","AUTO_AND_VEHICLES",4.6,534,5.7,10000,"Free",0,"Everyone","July 8, 2018","1.9.1","4.0.3 and up",0,0,"0",9.21044036697652,6.28226674689601,1,0,2018-07-08,2833
"CDL Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,7774,17,1e+05,"Free",0,"Everyone","July 3, 2018","1.7","4.2 and up",0.144675595238095,40,"0",11.5129354649202,8.95866873704743,1,0,2018-07-03,2838
"ezETC (ETC balance inquiry, meter trial, real-time traffic)","AUTO_AND_VEHICLES",4.3,38846,8.6,1e+06,"Free",0,"Everyone","July 28, 2018","2.20 Build 02","4.1 and up",0,0,"1",13.8155115579638,10.5673861327369,1,1,2018-07-28,2813
"Free VIN Report for Used Cars","AUTO_AND_VEHICLES",4.6,2431,2.4,1e+05,"Free",0,"Everyone","June 12, 2018","1.37","4.0 and up",0.270002904040404,40,"0",11.5129354649202,7.79646924308606,1,0,2018-06-12,2859
"DMV Permit Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,6090,27,1e+05,"Free",0,"Everyone","July 3, 2018","1.7","4.2 and up",0.251311273126675,40,"0",11.5129354649202,8.71456755083648,1,0,2018-07-03,2838
"Check Vehicle Tax","AUTO_AND_VEHICLES",3.9,295,2.7,10000,"Free",0,"Everyone","July 30, 2018","0.2.1","4.4 and up",0,0,"0",9.21044036697652,5.69035945432406,1,0,2018-07-30,2811
"Used Cars Mexico","AUTO_AND_VEHICLES",4,190,2.5,50000,"Free",0,"Everyone","October 14, 2016","1.0","2.3 and up",0,0,"0",10.8197982842103,5.25227342804663,1,0,2016-10-14,3465
"Used cars for sale - Trovit","AUTO_AND_VEHICLES",4.2,52530,7,5e+06,"Free",0,"Everyone","July 16, 2018","4.47.3","4.0.3 and up",0,0,"1",15.4249486703984,10.8691587505077,1,1,2018-07-16,2825
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines","AUTO_AND_VEHICLES",4.8,116986,35,5e+06,"Free",0,"Everyone","August 2, 2018","1.9.7","4.0.3 and up",0,0,"1",15.4249486703984,11.6698180964955,1,1,2018-08-02,2808
"SK Enca Direct Malls - Used Cars Search","AUTO_AND_VEHICLES",3.6,1379,16,5e+05,"Free",0,"Everyone","August 2, 2018","2.2.21","4.2 and up",0,0,"0",13.1223653774023,7.22983877815125,1,0,2018-08-02,2808
"Android Auto - Maps, Media, Messaging & Voice","AUTO_AND_VEHICLES",4.2,271920,16,1e+07,"Free",0,"Teen","July 11, 2018","Varies with device","5.0 and up",0.223039035658455,40,"1",16.1180957509583,12.5132668619155,1,1,2018-07-11,2830
"Tickets SDA 2019 + Exam RF","AUTO_AND_VEHICLES",4.8,7021,17,5e+05,"Free",0,"Everyone","July 27, 2018","1.79","4.0 and up",0,0,"0",13.1223653774023,8.85680335672838,1,0,2018-07-27,2814
"Super Cars Wallpapers And Backgrounds","AUTO_AND_VEHICLES",4.6,197,3.4,50000,"Free",0,"Everyone","June 14, 2018","1.3","4.0 and up",0,0,"0",10.8197982842103,5.28826703069454,1,0,2018-06-14,2857
"Police Lights, Sirens & Follow Me","AUTO_AND_VEHICLES",4.5,737,8.9,1e+05,"Free",0,"Everyone","June 8, 2018","2.3.5.1","4.1 and up",0,0,"0",11.5129354649202,6.60394382460047,1,0,2018-06-08,2863
"Police Detector (Speed Camera Radar)","AUTO_AND_VEHICLES",4.3,3574,3.9,1e+06,"Free",0,"Everyone 10+","July 4, 2018","1.6","4.0 and up",0,0,"1",13.8155115579638,8.18172045512811,1,1,2018-07-04,2837
"Best Car Wallpapers","AUTO_AND_VEHICLES",4.5,994,2.9,1e+05,"Free",0,"Everyone","March 27, 2018","1.6","4.1 and up",-0.004,100,"0",11.5129354649202,6.90274273715859,1,0,2018-03-27,2936
"Tickets + PDA 2018 Exam","AUTO_AND_VEHICLES",4.9,197136,38,1e+06,"Free",0,"Everyone","July 15, 2018","8.31","4.1 and up",0,0,"1",13.8155115579638,12.1916541974918,1,1,2018-07-15,2826
"Pick Your Part Garage","AUTO_AND_VEHICLES",3.9,142,32,50000,"Free",0,"Everyone","July 24, 2018","1.1.5.0","6.0 and up",0,0,"0",10.8197982842103,4.96284463025991,1,0,2018-07-24,2817
"PakWheels: Buy & Sell Cars","AUTO_AND_VEHICLES",4.4,15168,37,1e+06,"Free",0,"Everyone","July 27, 2018","10.0.2","4.2 and up",0,0,"1",13.8155115579638,9.62700915059167,1,1,2018-07-27,2814
"Supervision service","AUTO_AND_VEHICLES",4,2155,15,5e+05,"Free",0,"Everyone","July 30, 2018","1.10.3","5.0 and up",0,0,"0",13.1223653774023,7.67600993202889,1,0,2018-07-30,2811
"Speed Camera Detector - Traffic & Speed Alert","AUTO_AND_VEHICLES",4.3,138,5.4,1e+05,"Free",0,"Everyone","July 23, 2018","1.0","4.0.3 and up",0,0,"0",11.5129354649202,4.93447393313069,1,0,2018-07-23,2818
"Used car search Goo net whole car Go to net","AUTO_AND_VEHICLES",3.7,5414,18,1e+06,"Free",0,"Everyone","July 23, 2018","3.20.1","4.4 and up",0,0,"1",13.8155115579638,8.59692815943509,1,1,2018-07-23,2818
"BEST CAR SOUNDS","AUTO_AND_VEHICLES",4.3,348,38,1e+05,"Free",0,"Everyone","July 29, 2018","1.0.3","2.3 and up",0.26476391825229,43,"0",11.5129354649202,5.85507192220243,1,0,2018-07-29,2812
"RST - Sale of cars on the PCT","AUTO_AND_VEHICLES",3.2,250,1.1,1e+05,"Free",0,"Everyone","April 27, 2018","1.4","4.0.3 and up",0,0,"0",11.5129354649202,5.52545293913178,1,0,2018-04-27,2905
"SMS Park","AUTO_AND_VEHICLES",4.5,3617,7.9,1e+05,"Free",0,"Everyone","May 16, 2018","2.8.2","4.1 and up",0,0,"0",11.5129354649202,8.19367666595524,1,0,2018-05-16,2886
"SKencar","AUTO_AND_VEHICLES",3.7,4806,35,1e+06,"Free",0,"Everyone","July 31, 2018","4.0.3","4.0.3 and up",0,0,"1",13.8155115579638,8.47782846789396,1,1,2018-07-31,2810
"auto fines","AUTO_AND_VEHICLES",4.6,31433,17,1e+06,"Free",0,"Everyone","August 2, 2018","1.40","4.0.3 and up",0,0,"1",13.8155115579638,10.3556453886363,1,1,2018-08-02,2808
"Used car is the first car - used car purchase, used car quotation, dealer information to","AUTO_AND_VEHICLES",4.6,5097,19,1e+06,"Free",0,"Everyone","July 23, 2018","1.5.18","4.0.3 and up",0,0,"1",13.8155115579638,8.53660358493606,1,1,2018-07-23,2818
"All of the parking lot - National Park application (parking lot search / parking sharing / discount payment)","AUTO_AND_VEHICLES",4,1754,14,5e+05,"Free",0,"Everyone","June 2, 2018","2.3.4","4.0 and up",0,0,"0",13.1223653774023,7.47022413589997,1,0,2018-06-02,2869
"Inquiry Fines and Debits of Vehicles","AUTO_AND_VEHICLES",4.4,2680,2.2,5e+05,"Free",0,"Everyone","March 20, 2018","1.03","4.0.3 and up",0,0,"0",13.1223653774023,7.89394513823596,1,0,2018-03-20,2943
"Gas Station","AUTO_AND_VEHICLES",4,1288,4.5,1e+05,"Free",0,"Everyone","April 21, 2018","2.17","4.0 and up",0,0,"0",11.5129354649202,7.16162200293919,1,0,2018-04-21,2911
"Hush - Beauty for Everyone","BEAUTY",4.7,18900,17,5e+05,"Free",0,"Everyone","August 2, 2018","6.10.1","5.0 and up",0,0,"0",13.1223653774023,9.84697010970096,1,0,2018-08-02,2808
"ipsy: Makeup, Beauty, and Tips","BEAUTY",4.9,49790,14,1e+06,"Free",0,"Everyone","November 9, 2017","2.3.0","4.1 and up",0,0,"1",13.8155115579638,10.8155895237888,1,1,2017-11-09,3074
"Natural recipes for your beauty","BEAUTY",4.7,1150,9.8,1e+05,"Free",0,"Everyone","May 15, 2018","4.0","4.1 and up",0,0,"0",11.5129354649202,7.04838640872188,1,0,2018-05-15,2887
"BestCam Selfie-selfie, beauty camera, photo editor","BEAUTY",3.9,1739,21,5e+05,"Free",0,"Everyone","July 12, 2018","1.0.6","4.0.3 and up",-0.0376059523809524,100,"0",13.1223653774023,7.46164039220858,1,0,2018-07-12,2829
"Beauty Selfie Camera","BEAUTY",4.2,2225,52,5e+05,"Free",0,"Everyone","February 28, 2018","1.6","4.1 and up",0,100,"0",13.1223653774023,7.70796153183549,1,0,2018-02-28,2963
"Hairstyles step by step","BEAUTY",4.6,4369,14,1e+05,"Free",0,"Everyone","July 25, 2018","1.9","4.0.3 and up",0.381439583333333,100,"0",11.5129354649202,8.38251828808963,1,0,2018-07-25,2816
"Filters for Selfie","BEAUTY",4.3,8572,25,1e+06,"Free",0,"Everyone","May 10, 2018","1.1.0","4.0 and up",0.0624458333333333,100,"1",13.8155115579638,9.05637300867876,1,1,2018-05-10,2892
"Tie - Always be happy","BEAUTY",4.7,964,9,50000,"Free",0,"Everyone","June 21, 2018","4.0","4.2 and up",0,0,"0",10.8197982842103,6.87212810133899,1,0,2018-06-21,2850
"Prom MakeUp Tutorial","BEAUTY",4.8,104,12,10000,"Free",0,"Everyone","June 26, 2018","1.3","4.0.3 and up",0,0,"0",9.21044036697652,4.65396035015752,1,0,2018-06-26,2845
"Sweet Selfie Beauty Camera","BEAUTY",4.3,601,35,1e+05,"Free",0,"Everyone","June 2, 2018","2.0.0","4.0 and up",0,0,"0",11.5129354649202,6.40025744530882,1,0,2018-06-02,2869
"Colors of white in Urdu","BEAUTY",4.5,36,6.7,10000,"Free",0,"Everyone","July 26, 2018","6.0","4.0 and up",0,0,"0",9.21044036697652,3.61091791264422,1,0,2018-07-26,2815
"Selfie Camera Photo Editor & Filter & Sticker","BEAUTY",4.1,187,30,50000,"Free",0,"Teen","July 24, 2018","3.0.1","4.0.3 and up",0,0,"0",10.8197982842103,5.23644196282995,1,0,2018-07-24,2817
"Eyes Makeup Beauty Tips","BEAUTY",4.2,30,2.9,10000,"Free",0,"Everyone","April 9, 2018","3.3.9","4.0.3 and up",0,0,"0",9.21044036697652,3.43398720448515,1,0,2018-04-09,2923
"Photo Editor 2018","BEAUTY",4.5,134,17,10000,"Free",0,"Everyone","March 1, 2018","1.20","4.0.3 and up",0,0,"0",9.21044036697652,4.90527477843843,1,0,2018-03-01,2962
"Step By Step Eyes Makeup Tutorial","BEAUTY",4.4,74,2.9,10000,"Free",0,"Everyone","April 5, 2018","2.3.09","4.0.3 and up",0,0,"0",9.21044036697652,4.31748811353631,1,0,2018-04-05,2927
"Mirror Camera (Mirror + Selfie Camera)","BEAUTY",4.1,9315,2.6,1e+06,"Free",0,"Everyone","November 21, 2017","1.4.2","4.0 and up",0,0,"1",13.8155115579638,9.13948863100423,1,1,2017-11-21,3062
"Beauty Tips - Beauty Tips in Sinhala","BEAUTY",4.4,75,4.2,50000,"Free",0,"Everyone","October 18, 2017","1.0.0","4.0.3 and up",0,0,"0",10.8197982842103,4.33073334028633,1,0,2017-10-18,3096
"Haircut Tutorials/Haircut Videos","BEAUTY",4.6,38,7.1,10000,"Free",0,"Everyone","May 29, 2018","1.0","4.0 and up",0,0,"0",9.21044036697652,3.66356164612965,1,0,2018-05-29,2873
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop","BEAUTY",4.5,26834,57,1e+06,"Free",0,"Everyone","July 24, 2018","18.5","5.0 and up",0,0,"1",13.8155115579638,10.1974622846109,1,1,2018-07-24,2817
"Sticker Camera - Selfie Filters, Beauty Camera","BEAUTY",3.9,2277,22,5e+05,"Free",0,"Everyone","July 12, 2018","1.1.0","4.0.3 and up",0,0,"0",13.1223653774023,7.73105314400713,1,0,2018-07-12,2829
"Filters for B Live","BEAUTY",4.4,2280,24,5e+05,"Free",0,"Everyone","May 14, 2018","1.1.0","4.0 and up",0.126013257575758,40,"0",13.1223653774023,7.73236922228439,1,0,2018-05-14,2888
"Facial Wrinkle Reduction","BEAUTY",4.6,184,21,10000,"Free",0,"Everyone","July 2, 2018","1.5","4.1 and up",0,0,"0",9.21044036697652,5.22035582507832,1,0,2018-07-02,2839
"Makeup Videos","BEAUTY",3.8,9,3.4,5000,"Free",0,"Everyone","June 7, 2018","1.0","4.0 and up",0,0,"0",8.5173931714189,2.30258509299405,1,0,2018-06-07,2864
"Discover Color","BEAUTY",4,364,6.4,1e+05,"Free",0,"Everyone","May 24, 2018","1.1","4.0.3 and up",0,0,"0",11.5129354649202,5.89989735358249,1,0,2018-05-24,2878
"Eyeliner step by step 2018","BEAUTY",4.3,18,3.2,5000,"Free",0,"Everyone","June 1, 2018","1.2.13","4.0.3 and up",0,0,"0",8.5173931714189,2.94443897916644,1,0,2018-06-01,2870
"Dresses Ideas & Fashions +3000","BEAUTY",4.5,473,8.2,1e+05,"Free",0,"Mature 17+","March 1, 2017","1.0.2.0","1.6 and up",0.402822580645161,31,"0",11.5129354649202,6.16120732169508,1,0,2017-03-01,3327
"Step By Step Hairstyles For Women","BEAUTY",4.1,66,2.9,10000,"Free",0,"Everyone","April 5, 2018","3.1.89","4.0.3 and up",0,0,"0",9.21044036697652,4.20469261939097,1,0,2018-04-05,2927
"Rainbow Camera","BEAUTY",3.7,3871,23,1e+06,"Free",0,"Everyone","July 30, 2018","2.2.0","4.0 and up",0,0,"1",13.8155115579638,8.26152644839647,1,1,2018-07-30,2811
"Methods of teeth whitening","BEAUTY",4.7,257,4.6,50000,"Free",0,"Everyone","August 7, 2017","1.0","4.0.3 and up",0,0,"0",10.8197982842103,5.55295958492162,1,0,2017-08-07,3168
"Girls hairstyles 2018","BEAUTY",4.2,62,3.1,10000,"Free",0,"Everyone","May 28, 2018","1.9.2","4.0.3 and up",0,0,"0",9.21044036697652,4.14313472639153,1,0,2018-05-28,2874
"E-Book Read - Read Book for free","BOOKS_AND_REFERENCE",4.5,1857,4.9,50000,"Free",0,"Everyone","August 3, 2018","1.3.2","4.4 and up",0,0,"0",10.8197982842103,7.52725591937378,1,0,2018-08-03,2807
"Download free book with green book","BOOKS_AND_REFERENCE",4.6,4478,9.5,1e+05,"Free",0,"Everyone 10+","July 31, 2017","1.1","4.0 and up",0,0,"0",11.5129354649202,8.4071550862073,1,0,2017-07-31,3175
"Free Panda Radio Music","BOOKS_AND_REFERENCE",4.5,418,4.2,1e+05,"Free",0,"Everyone","March 27, 2018","2.1","4.1 and up",0.0375,40,"0",11.5129354649202,6.03787091992214,1,0,2018-03-27,2936
"Book store","BOOKS_AND_REFERENCE",4.4,22486,5.4,1e+06,"Free",0,"Teen","June 6, 2018","3.2.1","4.0 and up",0,0,"1",13.8155115579638,10.0206926434368,1,1,2018-06-06,2865
"English Grammar Complete Handbook","BOOKS_AND_REFERENCE",4.6,1435,2.8,5e+05,"Free",0,"Everyone","January 21, 2018","1.0","4.0 and up",0,40,"0",13.1223653774023,7.26961674960817,1,0,2018-01-21,3001
